date,close,volume,open,high,low,returns,log_returns
2008-08-14,24.67,37541170.0,24.16,24.86,24.12,,
2008-08-15,24.91,45251580.0,24.75,25.25,24.68,0.009728415079043318,0.009681398732823669
2008-08-18,24.49,31859500.0,24.95,25.08,24.27,-0.016860698514652772,-0.017004458310012703
2008-08-19,24.24,26806390.0,24.29,24.51,24.07,-0.010208248264597763,-0.010260709762962637
2008-08-20,24.23,32032620.0,24.34,24.48,24.01,-0.0004125412541253759,-0.0004126263726793019
2008-08-21,24.23,23700400.0,24.05,24.335,23.87,0.0,0.0
2008-08-22,24.71,28201530.0,24.38,24.82,24.28,0.019810152703260364,0.019616485172084284
2008-08-25,24.21,28316430.0,24.5,24.73,24.11,-0.02023472278429783,-0.02044224905055156
2008-08-26,24.11,31379250.0,24.29,24.34,23.88,-0.0041305245766213305,-0.00413907875688754
2008-08-27,24.37,28379950.0,24.24,24.59,24.15,0.010783907092492884,0.010726175444035316
2008-08-28,24.66,28524210.0,24.48,24.78,24.41,0.011899876897825123,0.011829630099083312
2008-08-29,24.05,33130820.0,24.35,24.35,23.91,-0.02473641524736414,-0.02504750118442804
2008-09-02,23.75,46602000.0,24.35,24.5,23.55,-0.012474012474012475,-0.012552466071119973
2008-09-03,23.31,44587980.0,23.74,23.74,23.15,-0.018526315789473724,-0.01870007743298449
2008-09-04,22.28,64077760.0,22.79,22.8,22.16,-0.04418704418704411,-0.04519303798858241
2008-09-05,22.26,46134590.0,22.09,22.67,22.07,-0.0008976660682226134,-0.0008980692116844929
2008-09-08,23.37,66138240.0,22.78,23.44,22.43,0.049865229110512166,0.04866180270336785
2008-09-09,22.97,71083630.0,23.42,23.58,22.91,-0.017115960633290683,-0.017264131849759848
2008-09-10,22.99,38933570.0,23.225,23.32,22.97,0.0008707009142359112,0.0008703220740832486
2008-09-11,23.05,46147850.0,22.68,23.06,22.39,0.002609830361026688,0.0026064306675674994
2008-09-12,23.46,50769940.0,22.87,23.59,22.61,0.017787418655097698,0.017631073782671963
2008-09-15,22.38,55853350.0,22.61,23.33,22.36,-0.04603580562659859,-0.047129140341550364
2008-09-16,22.8,81028990.0,21.8,23.14,21.74,0.018766756032171594,0.018592833076615925
