date,close,volume,open,high,low,returns,log_returns
2008-08-14,32.33,11535170.0,31.67,32.62,31.45,,
2008-08-15,32.5,11487630.0,32.47,32.92,32.34,0.005258274048871137,0.005244497598350205
2008-08-18,32.08,10217260.0,32.54,32.6,31.81,-0.012923076923076926,-0.013007306337378058
2008-08-19,31.75,8780927.0,31.84,32.06,31.58,-0.010286783042393943,-0.01034005765961302
2008-08-20,31.82,12381080.0,31.86,32.2,31.4,0.002204724409448744,0.00220229757094008
2008-08-21,31.83,6966638.0,31.65,32.0,31.32,0.0003142677561280838,0.0003142183843605118
2008-08-22,32.2,7954831.0,32.12,32.38,31.88,0.011624253848570687,0.011557211256361317
2008-08-25,31.6,8071223.0,31.97,32.09,31.4,-0.018633540372670843,-0.018809331957496227
2008-08-26,31.71,6506556.0,31.52,31.87,31.44,0.0034810126582278667,0.003474967957389547
2008-08-27,31.76,7317518.0,31.46,32.1,31.41,0.0015767896562599582,0.001575547828679119
2008-08-28,32.59,9675128.0,31.89,32.67,31.77,0.026133501259445913,0.025797856470535268
2008-08-29,32.35,9062780.0,32.37,32.75,32.31,-0.007364222154035094,-0.007391471902560717
2008-09-02,32.44,11843610.0,32.74,33.37,32.3,0.002782071097372274,0.002778208300302387
2008-09-03,32.51,9554331.0,32.32,32.54,31.97,0.0021578298397040285,0.002155505068601761
2008-09-04,31.54,11444250.0,32.44,32.44,31.49,-0.02983697323900336,-0.030291152780921624
2008-09-05,31.36,9012396.0,31.45,31.55,30.87,-0.005707038681039944,-0.005723386052685221
2008-09-08,32.92,20362360.0,31.99,33.05,31.92,0.04974489795918369,0.04854718032666198
2008-09-09,32.43,15312350.0,32.87,33.3,32.43,-0.014884568651275853,-0.014996455489642496
2008-09-10,32.77,13883660.0,32.6,33.23,32.48,0.010484119642306666,0.010429542391496785
2008-09-11,32.94,13989800.0,32.59,33.0,32.2,0.005187671650900061,0.005174262038770885
2008-09-12,33.26,11213490.0,32.77,33.45,32.6,0.00971463266545225,0.009667749015287266
2008-09-15,32.36,15214990.0,32.59,33.29,32.25,-0.027059530968129852,-0.02743238157449064
2008-09-16,32.51,18402750.0,31.74,32.89,31.5,0.004635352286773697,0.004624642125522936
2008-09-17,32.19,22205100.0,32.1,33.0,31.91,-0.009843125192248503,-0.009891889005097142
2008-09-18,33.44,22371800.0,32.25,33.74,32.06,0.03883193538365948,0.03809694290578403
2008-09-19,34.39,28430670.0,34.01,34.85,33.25,0.02840909090909105,0.028013036227674103
2008-09-22,32.91,17897420.0,33.85,34.05,32.84,-0.04303576621110794,-0.04398926148892633
2008-09-23,32.53,13450840.0,32.88,33.32,32.15,-0.01154664235794578,-0.011613822469988348
2008-09-24,31.77,13600290.0,32.59,32.59,31.63,-0.0233630494927759,-0.023640292203835307
2008-09-25,32.47,13356320.0,32.0,32.88,31.97,0.022033364809568745,0.021794137833329775
2008-09-26,32.75,9544866.0,31.94,32.81,31.94,0.008623344625808382,0.008586375966506285
2008-09-29,29.73,25887740.0,32.2,32.95,29.25,-0.09221374045801523,-0.09674632507125457
2008-09-30,30.69,16589070.0,30.34,30.85,29.48,0.03229061553985879,0.03178023162163855
2008-10-01,30.68,11020850.0,30.3,30.8,29.91,-0.0003258390355165286,-0.00032589213258944104
2008-10-02,29.96,11783230.0,30.42,30.81,29.9,-0.02346805736636237,-0.023747817850036625
2008-10-03,29.54,17468350.0,30.17,31.06,29.46,-0.014018691588785104,-0.014117881545785044
2008-10-06,28.26,35803120.0,28.84,29.4,26.3,-0.043331076506431865,-0.044297899846852264
2008-10-07,26.57,27859030.0,27.81,28.35,26.21,-0.05980184005661715,-0.06166461748465927
2008-10-08,25.68,28971910.0,25.51,27.115,24.93,-0.03349642453895374,-0.03407028094996174
2008-10-09,23.8,24391530.0,25.62,26.29,23.75,-0.07320872274143297,-0.07602689814433136
2008-10-10,23.04,37801840.0,22.59,24.42,21.25,-0.031932773109243806,-0.03245374484973863
2008-10-13,26.72,20772750.0,23.71,26.84,23.5,0.15972222222222232,0.14818051284075456
2008-10-14,25.68,20214140.0,27.96,28.0,25.04,-0.03892215568862267,-0.039699869846684464
2008-10-15,23.37,18087220.0,25.11,25.23,23.28,-0.0899532710280373,-0.09425933027099374
2008-10-16,24.27,21418090.0,23.37,24.6,22.07,0.03851091142490359,0.0377878711877433
2008-10-17,24.75,17985900.0,23.69,25.85,23.44,0.01977750309023496,0.019584469276189394
2008-10-20,26.55,14070710.0,24.96,26.55,24.59,0.07272727272727275,0.07020425867324856
2008-10-21,25.31,14680640.0,26.1,26.18,25.09,-0.04670433145009423,-0.04783017313091523
