date,close,volume,open,high,low,returns,log_returns
2008-08-14,166.59,8657086.0,164.61,168.9,164.11,,
2008-08-15,163.18,8386068.0,167.4,167.69,162.34,-0.02046941593132834,-0.020681817920971304
2008-08-18,160.04,7131340.0,162.26,162.68,159.7,-0.01924255423458765,-0.019430102011619942
2008-08-19,158.0,8965526.0,158.49,161.75,156.9,-0.012746813296675819,-0.012828750962067462
2008-08-20,158.25,9373985.0,158.13,160.44,155.3,0.0015822784810126667,0.0015810279973187732
2008-08-21,156.42,14533350.0,155.79,158.0,152.59,-0.011563981042654103,-0.011631363850820281
2008-08-22,159.81,8320708.0,159.99,160.81,156.8,0.02167242040659767,0.02144091242355215
2008-08-25,155.71,6121312.0,158.59,158.66,155.11,-0.025655465865715543,-0.025990306743684154
2008-08-26,155.91,5994131.0,155.51,157.86,153.38,0.0012844390212574108,0.001283614835126809
2008-08-27,155.48,6629945.0,154.71,155.88,153.41,-0.002758001411070521,-0.002761811704437798
2008-08-28,161.83,8565310.0,157.24,161.83,156.67,0.04084126575765379,0.04002929554477171
2008-08-29,163.97,7586044.0,160.56,165.0,160.27,0.013223753321386589,0.013137082732982927
2008-09-02,165.32,8210439.0,167.5,168.91,162.7,0.008233213392693672,0.00819950538175446
2008-09-03,167.61,6672484.0,163.97,167.92,162.03,0.0138519235422212,0.01375686249563554
2008-09-04,160.9,7788496.0,166.15,167.5,160.0,-0.040033410894338095,-0.04085679814082962
2008-09-05,163.24,7521558.0,157.77,163.71,157.72,0.01454319453076458,0.014438456539267537
2008-09-08,169.73,14980880.0,171.0,172.45,162.51,0.03975741239892172,0.03898742863583497
2008-09-09,161.67,12437200.0,167.3,168.38,160.5,-0.04748718552995934,-0.04865171855992499
2008-09-10,157.59,12937650.0,159.9,161.0,155.73,-0.025236593059936863,-0.025560496979535104
2008-09-11,157.03,20666230.0,151.36,159.42,149.87,-0.0035535249698585014,-0.003559853737117448
2008-09-12,154.21,15620260.0,154.38,161.77,152.35,-0.01795835190727879,-0.01812156002729729
2008-09-15,135.5,42486140.0,142.28,151.4,130.43,-0.12132805914013367,-0.12934366954980958
2008-09-16,133.01,48110260.0,118.0,135.29,116.13,-0.018376383763837656,-0.018547326954550764
2008-09-17,114.5,111797400.0,120.8,126.6,97.78,-0.13916246898729412,-0.14984949037091042
2008-09-18,108.0,114356400.0,106.0,120.0,85.88,-0.05676855895196509,-0.058443595870074666
2008-09-19,129.8,43210720.0,142.51,144.98,115.5,0.20185185185185195,0.18386357714577
2008-09-22,120.78,21917120.0,132.78,135.64,120.43,-0.06949152542372894,-0.07202409539023463
2008-09-23,125.05,19092590.0,118.89,125.95,113.01,0.03535353535353525,0.03474294844387284
2008-09-24,133.0,46606260.0,128.44,133.7,126.02,0.06357457017193124,0.061635470898125724
2008-09-25,135.5,19148350.0,134.25,137.99,128.76,0.018796992481203034,0.01862251209800185
