date,close,volume,open,high,low,returns,log_returns
2008-08-14,24.36,50424980.0,23.912,24.49,23.76,,
2008-08-15,24.26,43069290.0,24.35,24.5,24.18,-0.004105090311986803,-0.004113539325792142
2008-08-18,24.01,45652760.0,24.3,24.38,23.88,-0.0103050288540808,-0.010358493282742229
2008-08-19,23.59,66154110.0,23.81,24.08,23.48,-0.017492711370262426,-0.017647516813578228
2008-08-20,23.39,54003400.0,23.74,23.8,23.145,-0.0084781687155574,-0.008514312823495964
2008-08-21,23.05,54991940.0,23.13,23.27,22.8,-0.014536126549807626,-0.01464281115343015
2008-08-22,23.49,44972970.0,23.2,23.52,22.92,0.019088937093275415,0.01890902922816383
2008-08-25,22.97,42326390.0,23.27,23.36,22.93,-0.02213707960834399,-0.022385781969814555
2008-08-26,23.15,39515830.0,22.93,23.18,22.65,0.007836308228123645,0.007805763831236203
2008-08-27,23.41,38968430.0,23.1,23.58,23.02,0.011231101511879116,0.011168500970576383
2008-08-28,23.59,30301830.0,23.59,23.71,23.46,0.007689021785561634,0.007659611916764173
2008-08-29,22.87,53543590.0,23.28,23.4,22.85,-0.030521407376006726,-0.030996885384893834
2008-09-02,22.58,44054570.0,23.27,23.48,22.47,-0.01268036729339761,-0.01276144931317396
2008-09-03,21.54,73805370.0,22.585,22.59,21.51,-0.04605845881310888,-0.047152886993273385
2008-09-04,20.52,87858530.0,21.465,21.51,20.5,-0.0473537604456824,-0.04851165142567367
2008-09-05,20.61,67324890.0,20.35,20.8425,20.15,0.004385964912280604,0.0043763745997987815
2008-09-08,20.97,63278500.0,20.98,21.1,20.52,0.017467248908296984,0.017316450011460958
2008-09-09,20.33,71212020.0,20.81,20.9,20.22,-0.030519790176442574,-0.030995217273573353
2008-09-10,20.16,66170340.0,20.71,20.72,20.14,-0.00836202656173135,-0.008397184437087316
2008-09-11,20.19,85555460.0,19.97,20.2,19.67,0.0014880952380953438,0.0014869891215783665
2008-09-12,20.16,61073700.0,19.86,20.21,19.58,-0.0014858841010402246,-0.001486989121578367
2008-09-15,19.36,75497030.0,19.46,20.18,19.33,-0.039682539682539764,-0.04049136135473699
2008-09-16,19.48,103739000.0,18.79,19.85,18.55,0.006198347107438051,0.006179216365958118
2008-09-17,18.55,92173360.0,19.26,19.5,18.55,-0.047741273100616044,-0.04891850916094492
2008-09-18,19.26,126479200.0,18.78,19.69,17.91,0.03827493261455528,0.03756061731653537
2008-09-19,19.23,107661600.0,20.16,20.22,18.36,-0.0015576323987539498,-0.00155884676929119
2008-09-22,18.5,48870470.0,19.14,19.51,18.47,-0.037961518460738475,-0.03870082751640928
2008-09-23,18.63,64635370.0,18.64,19.21,18.5,0.007027027027026955,0.007002452529217882
2008-09-24,18.7,67869840.0,18.77,19.02,18.52,0.0037573805689747886,0.0037503392470438685
2008-09-25,18.57,69628870.0,18.94,19.0,18.52,-0.006951871657753905,-0.006976148495926408
2008-09-26,19.2,68310860.0,18.22,19.4018,18.19,0.03392568659127626,0.033362903669121445
2008-09-29,17.27,93022030.0,18.76,19.0,17.2689,-0.10052083333333328,-0.10593938687514858
2008-09-30,18.73,84119950.0,18.08,18.8,17.8,0.0845396641574987,0.08115562429741004
2008-10-01,18.52,74400830.0,18.5,18.69,18.06,-0.011211959423385043,-0.011275287237963921
2008-10-02,17.2,80621720.0,18.24,18.26,17.13,-0.07127429805615548,-0.07394184539862594
2008-10-03,17.31,83398130.0,17.5,17.91,17.2,0.006395348837209269,0.006374985368710494
2008-10-06,16.93,111107000.0,16.97,17.42,16.19,-0.021952628538417063,-0.0221971730430739
2008-10-07,16.02,90071880.0,17.08,17.4,16.0,-0.05375073833431776,-0.055249254504830765
2008-10-08,16.25,124215400.0,15.61,16.83,15.49,0.014357053682896304,0.014254967135533255
2008-10-09,15.6,105907400.0,16.71,17.05,15.54,-0.040000000000000036,-0.040821994520255166
2008-10-10,15.19,166771700.0,15.01,15.89,14.26,-0.0262820512820513,-0.02663359764780989
2008-10-13,16.99,99223260.0,16.18,17.08,15.69,0.11849901250822903,0.1119876190761591
2008-10-14,15.93,124113400.0,17.43,17.46,15.63,-0.06238964096527366,-0.06442081176188347
2008-10-15,14.99,141040200.0,16.14,16.42,14.98,-0.05900816070307591,-0.06082081180745077
2008-10-16,15.88,120818600.0,15.23,15.97,14.48,0.05937291527685118,0.05767714370448328
2008-10-17,15.5,93865320.0,15.36,16.31,15.27,-0.023929471032745675,-0.02422043189378881
2008-10-20,16.04,74030480.0,15.5,16.11,15.44,0.0348387096774192,0.03424557851316735
2008-10-21,15.25,78518540.0,15.705,15.89,15.21,-0.04925187032418943,-0.050506099384947704
2008-10-22,14.58,78409180.0,15.19,15.19,14.25,-0.04393442622950816,-0.0449287764729085
2008-10-23,14.51,85012950.0,14.6,14.95,13.9,-0.004801097393690057,-0.0048126596844156825
2008-10-24,14.28,95982700.0,13.39,14.85,13.37,-0.015851137146795313,-0.01597810998465815
2008-10-27,14.25,80525950.0,14.06,14.86,13.86,-0.0021008403361344463,-0.0021030501967787877
2008-10-28,15.86,102349000.0,14.58,15.91,14.36,0.11298245614035074,0.10704330949204227
2008-10-29,14.94,99433700.0,15.6,15.77,14.91,-0.058007566204287486,-0.05975803650203065
2008-10-30,16.17,134806300.0,15.49,16.43,15.28,0.08232931726907644,0.07911549388434436
2008-10-31,16.031,94660300.0,15.97,16.49,15.62,-0.00859616573902311,-0.008633325881479184
2008-11-03,15.64,54063720.0,16.13,16.34,15.6,-0.024390243902438935,-0.02469261259037141
2008-11-04,16.26,71337700.0,16.18,16.39,15.81,0.03964194373401542,0.03887636900249958
2008-11-05,15.06,68907390.0,16.04,16.12,14.95,-0.07380073800738018,-0.07666588174791714
2008-11-06,13.87,108644400.0,14.6,14.78,13.78,-0.07901726427622846,-0.08231398804500734
2008-11-07,14.63,73414140.0,14.08,14.76,14.02,0.054794520547945424,0.05334598070529293
2008-11-10,14.35,52846500.0,15.01,15.06,14.23,-0.019138755980861344,-0.01932427282640293
2008-11-11,13.93,84832760.0,14.03,14.18,13.46,-0.029268292682926855,-0.02970515441391581
2008-11-12,13.52,71244390.0,13.55,13.9671,13.51,-0.02943287867910982,-0.029874717176896284
2008-11-13,14.43,143439900.0,13.04,14.44,12.87,0.06730769230769229,0.06513930217096145
2008-11-14,13.32,74756900.0,14.07,14.12,13.24,-0.07692307692307687,-0.08004270767353637
2008-11-17,13.0,60202550.0,13.21,13.48,13.0,-0.024024024024024038,-0.024317307650706357
2008-11-18,13.11,96838880.0,13.12,13.23,12.51,0.00846153846153852,0.008425940314071796
2008-11-19,12.49,73694840.0,13.01,13.26,12.47,-0.04729214340198318,-0.04844697363812212
2008-11-20,12.23,113974100.0,12.28,13.15,12.17,-0.02081665332265814,-0.021036374438405336
2008-11-21,13.11,104098200.0,12.45,13.17,12.06,0.07195421095666377,0.06948334807652733
2008-11-24,13.56,98121130.0,13.33,13.7,13.12,0.034324942791762014,0.033748984736641036
2008-11-25,13.13,84201140.0,13.78,13.85,13.11,-0.03171091445427732,-0.032224594197544726
2008-11-26,13.97,71461660.0,13.04,13.99,13.01,0.06397562833206405,0.0620124849541657
2008-11-28,13.8,28359810.0,13.79,14.03,13.68,-0.012168933428775897,-0.01224358110571139
2008-12-01,12.56,60824350.0,13.46,13.57,12.553,-0.08985507246376812,-0.0941514311231064
2008-12-02,13.28,63833570.0,12.92,13.33,12.62,0.0573248407643312,0.055741983008235164
2008-12-03,13.66,77240320.0,12.74,13.67,12.72,0.028614457831325435,0.02821271009435634
2008-12-04,12.77,78382890.0,13.36,13.49,12.72,-0.06515373352855058,-0.06737318409819616
2008-12-05,13.29,85171630.0,12.71,13.35,12.38,0.040720438527799496,0.03991320268070601
2008-12-08,13.94,77975030.0,13.56,14.01,13.45,0.04890895410082763,0.047750532607223804
