date,close,volume,open,high,low,returns,log_returns
2008-08-14,63.6,9296618.0,62.65,64.29,62.0,,
2008-08-15,63.63,5169602.0,64.13,64.35,63.23,0.0004716981132075748,0.00047158689862433805
2008-08-18,63.29,6953412.0,63.89,64.23,63.0375,-0.005343391482005355,-0.005357718457486794
2008-08-19,62.46,5644438.0,63.0,63.02,62.25,-0.013114236056248951,-0.01320098693228141
2008-08-20,62.43,4626436.0,62.64,62.67,61.96,-0.0004803073967338811,-0.0004804227812797395
2008-08-21,62.31,5135232.0,61.93,62.85,61.9,-0.001922152811148492,-0.0019240025175221252
2008-08-22,63.42,5610940.0,62.69,63.9,62.69,0.01781415503129513,0.017657342554070633
2008-08-25,62.08,5997405.0,63.21,63.21,61.9,-0.021128981393882085,-0.021355393235237986
2008-08-26,62.13,5546989.0,62.07,62.27,61.21,0.0008054123711340733,0.0008050882006392257
2008-08-27,62.08,4830332.0,62.59,62.59,61.37,-0.0008047642040882597,-0.0008050882006392307
2008-08-28,62.89,5762405.0,62.34,62.95,61.71,0.013047680412371143,0.012963292680448692
2008-08-29,62.0,5955649.0,62.76,62.94,61.81,-0.014151693432978174,-0.014252783510320395
2008-09-02,62.91,9658819.0,62.39,64.29,62.39,0.014677419354838683,0.01457074853684669
2008-09-03,61.72,10104890.0,63.13,63.15,61.2,-0.01891591161977424,-0.01909710608697814
2008-09-04,60.02,7759182.0,61.51,61.54,59.96,-0.027543745949449083,-0.02793018748273899
2008-09-05,60.3,8913390.0,59.79,60.47,59.56,0.0046651116294567085,0.004654263720918564
2008-09-08,62.42,10432200.0,61.26,62.5,60.93,0.03515754560530682,0.03455363310949363
2008-09-09,63.19,14469760.0,63.0,64.65,62.99,0.012335789810957953,0.012260323942730448
2008-09-10,63.2,8683765.0,63.38,63.77,62.59,0.00015825288811521787,0.00015824036744785657
2008-09-11,64.56,11202710.0,62.56,64.64,62.26,0.021518987341772045,0.021290722808881515
2008-09-12,64.06,9374547.0,64.12,64.87,63.57,-0.007744733581164787,-0.007774879780681251
2008-09-15,63.72,11332520.0,63.73,64.87,63.08,-0.005307524196066282,-0.005321659139164404
2008-09-16,64.29,15630220.0,63.49,65.08,63.11,0.00894538606403028,0.008905613111747713
2008-09-17,62.52,13364770.0,63.87,64.82,62.39,-0.02753149790014009,-0.027917592600319584
2008-09-18,63.96,13178600.0,63.38,64.23,62.09,0.02303262955854124,0.022771382412477597
2008-09-19,63.98,13907350.0,64.66,65.47,63.6,0.00031269543464662597,0.0003126465556184354
2008-09-22,62.57,12146340.0,63.58,64.756,62.22,-0.022038136917786777,-0.022284604511099794
2008-09-23,61.78,11451980.0,62.63,64.5,61.31,-0.012625859037877607,-0.012706242519836503
2008-09-24,61.43,8890107.0,62.0,62.65,60.7,-0.0056652638394302235,-0.0056813723145995925
2008-09-25,62.27,8920220.0,61.79,62.7,61.79,0.013674100602311556,0.013581453708524543
2008-09-26,63.2,8276016.0,62.05,63.34,62.05,0.01493496065521116,0.014824532268451119
2008-09-29,60.16,12356130.0,63.09,63.48,59.86,-0.048101265822784955,-0.049296621511227504
2008-09-30,61.7,12966730.0,61.29,61.73,59.88,0.02559840425531923,0.025276251269757823
2008-10-01,63.66,12381490.0,61.18,64.02,60.86,0.03176661264181524,0.03127249094260464
2008-10-02,61.88,10905220.0,63.64,63.9,61.17,-0.027961043041156097,-0.02835939614908135
2008-10-03,60.23,11058910.0,62.9,62.96,60.02,-0.026664511958629733,-0.027026458649235797
2008-10-06,57.15,16071520.0,58.99,59.84,55.45,-0.05113730698987218,-0.05249117681481007
2008-10-07,54.97,15343220.0,58.94,58.94,52.73,-0.038145231846019256,-0.03889180836825068
2008-10-08,53.41,20739390.0,53.26,55.83,53.25,-0.02837911588138986,-0.02878958752089006
2008-10-09,52.08,17218740.0,55.0,55.71,52.08,-0.02490170380078638,-0.02521699645136515
