date,close,volume,open,high,low,returns,log_returns
2008-08-14,73.04,2992086.0,72.55,73.87,72.21,,
2008-08-15,73.49,4407788.0,73.09,74.1,73.09,0.006161007667031537,0.006142106254066613
2008-08-18,72.45,4294066.0,73.59,73.9,72.04,-0.014151585249693732,-0.014252673774088375
2008-08-19,71.31,3687592.0,72.15,72.31,70.85,-0.015734989648033104,-0.015860098726479116
2008-08-20,70.69,2930660.0,71.24,71.43,70.29,-0.008694432758379,-0.008732449857349658
2008-08-21,70.91,2977937.0,70.26,71.29,69.75,0.0031121799405855466,0.003107347133042527
2008-08-22,72.28,3062316.0,70.91,72.71,70.54,0.019320265124806113,0.019135998408122447
2008-08-25,70.73,3733178.0,71.47,71.94,70.28,-0.021444382955174257,-0.021677654676129116
2008-08-26,70.72,2761040.0,70.47,71.3,70.24,-0.0001413827230313247,-0.0001413927185106471
2008-08-27,70.72,3481270.0,70.69,71.22,70.13,0.0,0.0
2008-08-28,72.5,3889515.0,71.01,72.66,70.91,0.025169683257918463,0.02485814353124101
2008-08-29,71.6,3440090.0,72.14,72.55,71.51,-0.012413793103448367,-0.012491487894029254
2008-09-02,71.12,4766759.0,72.38,73.63,70.8,-0.006703910614525022,-0.006726482760950674
2008-09-03,70.83,5710989.0,70.31,71.3,69.79,-0.004077615298087811,-0.004085951440117969
2008-09-04,69.74,6032159.0,70.23,70.44,69.45,-0.015388959480446163,-0.015508598518026167
2008-09-05,69.19,5452539.0,69.49,69.75,68.51,-0.007886435331230235,-0.00791769773678535
2008-09-08,71.18,6063314.0,70.13,71.99,70.13,0.028761381702558264,0.028355536571327004
2008-09-09,69.45,6627818.0,70.5,71.0,69.31,-0.02430457993818491,-0.024604810881693872
2008-09-10,68.68,5740851.0,69.97,70.12,68.49,-0.01108711303095744,-0.011149033171077906
2008-09-11,69.94,5187058.0,68.24,70.07,68.18,0.01834595224228286,0.018179695605954813
2008-09-12,70.15,5702000.0,69.85,70.48,69.25,0.003002573634544037,0.002998074913240304
2008-09-15,68.88,6903869.0,68.02,70.25,68.01,-0.018104062722737124,-0.01826994642899472
2008-09-16,69.73,8606625.0,68.47,70.32,68.32,0.012340301974448353,0.01226478111344404
2008-09-17,68.85,8858724.0,68.33,69.93,67.85,-0.012620106123619856,-0.012700416058255695
2008-09-18,70.5,10862730.0,69.51,71.24,68.03,0.023965141612200425,0.023682484643559105
2008-09-19,72.68,10138530.0,74.24,74.71,71.01,0.030921985815602904,0.030453533709747533
2008-09-22,70.7,5715346.0,72.78,73.99,70.35,-0.027242707760044116,-0.027620670625443454
2008-09-23,69.0,5786027.0,70.77,71.03,69.0,-0.0240452616690241,-0.024339068305267744
2008-09-24,68.57,5756384.0,69.41,70.25,67.89,-0.006231884057971149,-0.006251383300986446
2008-09-25,69.73,5291234.0,68.82,70.03,68.82,0.01691701910456489,0.0167755199366465
2008-09-26,69.45,4302264.0,68.8,69.69,68.25,-0.004015488312060778,-0.004023572032566563
2008-09-29,66.32,8047902.0,68.93,68.93,65.51,-0.045068394528437916,-0.04611555837331344
2008-09-30,68.31,7093822.0,67.28,68.6,67.12,0.030006031363088104,0.029564657916718452
2008-10-01,67.39,4615630.0,67.67,68.31,66.86,-0.013468013468013518,-0.013559529785632362
2008-10-02,65.6,7880045.0,66.91,67.75,65.51,-0.026561804422021162,-0.026920943008082364
2008-10-03,64.6,6587951.0,66.09,67.25,64.51,-0.015243902439024404,-0.015361285161487206
2008-10-06,63.0,10948930.0,63.1,64.38,60.93,-0.024767801857585092,-0.02507968439702343
2008-10-07,59.97,8798055.0,63.75,64.5,59.87,-0.04809523809523808,-0.04929028921111429
2008-10-08,57.37,12822170.0,59.46,61.94,57.24,-0.043355010838752706,-0.04432291856663869
2008-10-09,53.5,11647630.0,57.5,58.57,53.3818,-0.06745685898553244,-0.06983986471181876
2008-10-10,54.26,16316950.0,51.83,56.44,50.01,0.014205607476635462,0.01410565332882477
2008-10-13,59.62,10511070.0,58.75,59.71,56.01,0.09878363435311455,0.09420378101913962
2008-10-14,59.37,10622650.0,61.96,63.6,58.39,-0.004193223750419306,-0.0042020399673413185
2008-10-15,54.68,9644190.0,58.05,59.38,54.62,-0.07899612598955696,-0.08229103642683519
2008-10-16,57.27,10485540.0,54.76,57.79,52.34,0.04736649597659115,0.046278914550017196
2008-10-17,56.49,7288009.0,56.16,59.0,55.26,-0.013619696176008445,-0.013713295068595267
2008-10-20,57.51,6668409.0,57.67,57.67,55.0,0.018056293149229852,0.017895214388491985
2008-10-21,60.04,10741700.0,60.15,61.91,59.07,0.0439923491566685,0.043052161039598476
2008-10-22,58.19,11002280.0,59.25,60.9,57.08,-0.03081279147235183,-0.031297488096682716
2008-10-23,61.54,15117050.0,58.53,62.1,57.74,0.057570029214641716,0.055973851225317235
2008-10-24,59.61,10094920.0,58.36,61.5,57.52,-0.03136171595710102,-0.03186402466206054
2008-10-27,60.37,9264850.0,58.6,62.76,58.5,0.012749538668008764,0.012668947576499657
2008-10-28,64.31,9364099.0,61.09,64.56,58.34,0.06526420407487166,0.06322284733843703
2008-10-29,62.13,11277640.0,64.28,64.98,61.87,-0.03389830508474578,-0.03448617607116932
2008-10-30,62.55,7140928.0,64.49,64.56,61.3,0.006760019314340893,0.006737272837317658
2008-10-31,64.3,7259335.0,62.48,64.56,61.75,0.027977617905675434,0.027593394330653533
2008-11-03,64.11,3677520.0,63.56,64.65,63.47,-0.002954898911353032,-0.0029592732444077593
2008-11-04,65.61,5896109.0,65.45,66.23,64.17,0.02339728591483392,0.02312776535762026
2008-11-05,64.52,8213284.0,64.64,67.47,64.39,-0.016613321140070192,-0.016752870099778133
2008-11-06,62.36,7840365.0,64.04,65.47,62.07,-0.03347799132052076,-0.034051209067432336
2008-11-07,64.83,6133987.0,62.92,64.83,62.34,0.039608723540731194,0.038844414997328484
2008-11-10,64.95,5755435.0,65.98,66.56,64.08,0.0018509949097640366,0.0018492839297042853
2008-11-11,62.38,6573362.0,63.87,64.94,61.4,-0.039568899153194725,-0.040373031936951305
2008-11-12,59.44,8203326.0,61.18,61.93,59.24,-0.047130490541840375,-0.04827731077015352
2008-11-13,64.43,11086440.0,59.23,64.87,57.91,0.08395020188425328,0.08061196274104757
2008-11-14,63.06,6996673.0,63.22,65.95,62.6,-0.021263386621139246,-0.02149270903363633
2008-11-17,60.8,6576572.0,62.33,62.93,60.03,-0.03583888360291798,-0.03649686514479356
2008-11-18,62.17,9223645.0,60.23,62.4199,59.5,0.02253289473684217,0.022282779309124902
2008-11-19,58.77,8329556.0,61.83,62.36,58.6,-0.05468875663503292,-0.05624104765668703
2008-11-20,56.79,11517020.0,58.25,61.06,56.25,-0.03369065849923436,-0.034271266735217965
2008-11-21,61.3,14796560.0,57.78,61.61,56.64,0.07941539003345666,0.0764195890528246
2008-11-24,63.26,10617220.0,62.0,64.24,61.0,0.03197389885807511,0.03147337493533713
2008-11-25,63.64,8689722.0,64.34,64.5,61.83,0.006006955422067639,0.005988985592083319
2008-11-26,65.91,6395958.0,62.45,66.0,62.4,0.03566939032055294,0.03504797159504225
2008-11-28,66.93,3205489.0,65.18,67.0,64.2,0.015475648611743553,0.015357122047922568
2008-12-01,62.35,9715660.0,64.95,66.25,62.1,-0.06842970267443604,-0.07088362498650545
2008-12-02,60.86,11933780.0,60.7,62.14,58.82,-0.023897353648757003,-0.024187527657220424
2008-12-03,60.71,8972762.0,59.66,61.7,59.16,-0.0024646730200459377,-0.0024677153264822684
2008-12-04,59.14,9290567.0,60.13,60.45,58.1,-0.025860648986987367,-0.026200914718011573
2008-12-05,59.85,10272130.0,58.21,60.44,57.84,0.01200541088941498,0.011933917579651027
2008-12-08,57.38,14082560.0,59.01,60.68,55.43,-0.041269841269841234,-0.042145621450763386
2008-12-09,56.15,8788584.0,55.46,56.74,55.0,-0.02143604043220637,-0.02166912936876657
2008-12-10,57.52,5391189.0,56.91,58.29,56.47,0.0243989314336599,0.024106032228339118
2008-12-11,55.14,7404489.0,56.77,57.24,54.65,-0.04137691237830321,-0.04225730781714058
2008-12-12,56.04,4723349.0,54.27,56.57,53.59,0.016322089227421177,0.01619031587315564
2008-12-15,55.63,5556941.0,56.6,56.72,54.92,-0.00731620271234823,-0.007343097381604316
2008-12-16,58.32,9334170.0,55.57,58.6,55.31,0.048355204026604204,0.047222463613200726
2008-12-17,58.58,5847401.0,57.5,59.5,57.5,0.004458161865569243,0.004448253699184682
2008-12-18,56.71,5572110.0,58.9,59.26,56.28,-0.031922157733014656,-0.032442779373650754
2008-12-19,56.62,7536897.0,58.0,58.04,56.23,-0.001587021689296475,-0.0015882823421831517
2008-12-22,56.37,4209369.0,56.53,57.06,55.27,-0.004415400918403423,-0.004425177590269935
2008-12-23,55.44,3286003.0,56.71,57.5,55.31,-0.016498137307078276,-0.01663574721183589
2008-12-24,55.5,1340809.0,55.61,55.98,55.36,0.0010822510822510178,0.0010816658707409699
2008-12-26,55.74,1634242.0,55.55,56.11,55.51,0.00432432432432428,0.0043150013014132795
2008-12-29,55.37,3036982.0,55.55,56.0,54.26,-0.006637961966272088,-0.006660091218926451
2008-12-30,57.17,3769782.0,55.56,57.27,55.22,0.03250857865270018,0.03199135444100427
2008-12-31,57.54,4005773.0,57.23,57.92,56.68,0.006471925835228154,0.006451072847521823
2009-01-02,59.19,5313866.0,57.55,59.39,57.52,0.02867570385818552,0.028272250579231727
2009-01-05,58.5,3768714.0,58.79,59.09,58.11,-0.011657374556512834,-0.011725854464822768
2009-01-06,59.19,4967077.0,58.74,59.81,58.61,0.011794871794871709,0.011725854464822775
2009-01-07,58.07,4598039.0,58.61,58.96,57.58,-0.018922115222165914,-0.019103429318675175
2009-01-08,58.58,3944824.0,57.68,58.71,57.45,0.008782503874634084,0.008744162015628939
2009-01-09,57.74,3660989.0,58.8,59.01,57.57,-0.014339364970979762,-0.014443167164798288
2009-01-12,57.08,4182466.0,57.64,57.9,56.69,-0.011430550744717771,-0.01149638162615344
2009-01-13,56.25,4430021.0,56.85,57.3,55.71,-0.014540995094604048,-0.014647751524106137
2009-01-14,55.04,4520744.0,55.31,56.0,54.5,-0.021511111111111147,-0.021745847459441327
2009-01-15,55.17,4777310.0,55.08,55.76,54.29,0.002361918604651292,0.0023591336592513217
2009-01-16,56.42,5621816.0,55.59,56.63,54.89,0.022657241254304905,0.02240437828951084
2009-01-20,53.92,5640041.0,56.42,56.6,53.85,-0.044310528181495945,-0.04532223896979866
2009-01-21,54.24,5892760.0,54.61,54.8,52.75,0.005934718100890191,0.0059171770280885185
2009-01-22,54.06,4788901.0,53.65,54.57,52.83,-0.0033185840707964376,-0.00332410278383856
2009-01-23,52.9,5684711.0,53.01,53.67,52.31,-0.02145763965963754,-0.02169120198404795
2009-01-26,53.56,5185194.0,53.54,54.55,52.95,0.012476370510396961,0.012399181958718046
2009-01-27,53.99,4722646.0,53.75,54.51,53.23,0.008028379387602591,0.007996323407223758
2009-01-28,55.42,6105006.0,54.45,55.85,53.8,0.02648638636784595,0.026141695204636793
2009-01-29,56.55,8154198.0,55.63,57.71,55.03,0.02038975099242135,0.020184663127296953
2009-01-30,53.79,7620209.0,56.59,56.81,53.29,-0.04880636604774535,-0.050037626276978255
2009-02-02,50.62,9021124.0,52.79,53.02,50.16,-0.058932887153746116,-0.06074082116817328
2009-02-03,51.64,7716752.0,51.25,51.82,50.3,0.02015013828526291,0.01994981086146392
2009-02-04,50.84,4722330.0,51.91,52.45,50.61,-0.015491866769945739,-0.01561311965718841
