date,close,volume,open,high,low,returns,log_returns
2008-08-14,35.94,11026570,35.62,36.25,35.26,,
2008-08-15,36.16,8896441,36.06,36.65,36.06,0.006121313299944253,0.006102654168562668
2008-08-18,35.71,7881114,36.3,36.5,35.5,-0.012444690265486558,-0.012522773917618501
2008-08-19,35.25,10266220,35.47,35.69,35.0,-0.012881545785494275,-0.012965232348079433
2008-08-20,34.94,9629247,35.25,35.43,34.7,-0.008794326241134853,-0.008833224552367255
2008-08-21,34.82,14101610,34.86,34.99,34.15,-0.0034344590726960167,-0.003440370365867489
2008-08-22,35.27,9650782,35.0,35.51,34.75,0.012923607122343528,0.012840809907917689
2008-08-25,35.0,11233430,35.17,35.3199,34.56,-0.00765523107456767,-0.007684682758546995
2008-08-26,35.42,12700130,34.98,35.87,34.85,0.01200000000000001,0.011928570865273812
2008-08-27,35.73,7959492,35.42,35.87,35.01,0.00875211744776938,0.008714039680630708
2008-08-28,36.4,9359247,35.91,36.57,35.89,0.01875174923033862,0.01857810260737652
2008-08-29,35.67,11569050,36.31,36.33,35.51,-0.020054945054944984,-0.02025877527189475
2008-09-02,34.83,17346490,35.62,36.075,34.42,-0.02354920100925162,-0.023830914992890483
2008-09-03,34.67,9024697,34.8,34.87,34.06,-0.004593741027849485,-0.004604324680977686
2008-09-04,34.17,13805640,34.46,34.83,34.08,-0.014421690222094052,-0.014526693569731625
2008-09-05,34.3,15356360,33.86,34.37,33.59,0.003804506877377767,0.003797288044693718
2008-09-08,35.48,16326970,34.96,35.52,34.52,0.03440233236151613,0.0338238032694846
2008-09-09,34.34,14710200,35.5,35.85,34.31,-0.03213077790304375,-0.032658301972049046
2008-09-10,33.52,17493380,34.43,34.49,33.27,-0.023878858474082665,-0.024168579855447143
2008-09-11,33.99,16618850,33.12,34.1,33.12,0.01402147971360379,0.013924088094142318
2008-09-12,33.82,10987530,33.81,34.25,33.542,-0.005001471020888548,-0.00501402023759045
2008-09-15,32.72,15473150,33.11,33.85,32.71,-0.0325251330573626,-0.03306583173588803
2008-09-16,32.28,21642650,32.27,32.78,31.51,-0.013447432762836109,-0.01353866833279818
2008-09-17,31.13,22463460,31.76,32.2,30.99,-0.03562577447335813,-0.03627585894823126
2008-09-18,31.93,19842820,31.43,32.04,30.63,0.025698682942499218,0.02537402227317387
2008-09-19,31.84,25470650,32.64,32.87,30.52,-0.0028186658315063617,-0.0028226457505083247
2008-09-22,31.45,11172580,31.99,32.62,31.35,-0.01224874371859297,-0.012324377829732738
2008-09-23,30.75,17617110,31.47,32.0,30.69,-0.02225755166931631,-0.02250898889392259
2008-09-24,31.47,11357480,30.76,31.72,30.7,0.023414634146341484,0.02314471682378864
2008-09-25,32.37,15575660,31.63,32.63,31.52,0.02859866539561473,0.028197356861837348
2008-09-26,32.12,12798040,32.03,32.62,31.8,-0.007723200494284876,-0.007753178859592104
2008-09-29,30.34,23276430,31.89,32.12,30.34,-0.055417185554171744,-0.057011915158174616
2008-09-30,31.56,15030650,30.95,31.79,30.77,0.04021094264996705,0.039423522057287316
2008-10-01,32.09,14151810,31.42,32.44,31.4,0.01679340937896079,0.016653959144092085
2008-10-02,31.1,17470520,31.73,32.46,31.06,-0.03085073231536306,-0.031336635936577074
2008-10-03,31.78,17295440,31.39,32.3,31.25,0.021864951768488794,0.021629341923381517
2008-10-06,30.04,23631780,31.29,32.28,29.04,-0.05475141598489619,-0.05630733421263596
2008-10-07,28.92,20669180,30.04,31.24,28.82,-0.03728362183754985,-0.037996429605369975
2008-10-08,28.52,22480170,28.58,29.93,28.01,-0.013831258644536715,-0.013927801744468813
2008-10-09,26.21,25384120,28.45,28.57,25.53,-0.08099579242636745,-0.0844645782107802
2008-10-10,26.23,38493540,25.26,28.32,23.64,0.0007630675314764801,0.0007627765434672754
2008-10-13,29.42,20425190,27.23,29.79,27.12,0.12161646969119344,0.11477092129450929
2008-10-14,29.13,19775900,31.32,31.43,28.16,-0.009857239972807741,-0.009906144201948353
2008-10-15,26.56,18218510,28.83,29.1,26.41,-0.08822519739100587,-0.09236224636311018
2008-10-16,28.19,19629670,27.26,28.3,25.6,0.061370481927710996,0.05956098051778822
2008-10-17,28.5,23017650,27.54,30.2,27.33,0.010996807378502949,0.010936782148583594
2008-10-20,31.0,27172840,29.26,31.31,28.63,0.08771929824561409,0.08408311721054144
2008-10-21,29.97,14248010,30.38,31.44,29.84,-0.033225806451612994,-0.0337903231565745
2008-10-22,28.01,20669400,29.1,29.91,27.5,-0.06539873206539859,-0.06763529205655454
2008-10-23,28.85,22298740,28.44,29.38,26.86,0.029989289539450237,0.02954840368209145
2008-10-24,27.35,17209640,26.51,28.24,26.46,-0.051993067590987874,-0.053393464086118364
2008-10-27,26.82,16266840,27.03,28.357,25.8,-0.019378427787934194,-0.019568651014457754
2008-10-28,29.69,22985140,26.9,29.9,26.1,0.10700969425801654,0.1016624109221361
2008-10-29,28.68,18457740,29.46,30.71,28.53,-0.03401818794206812,-0.034610273044248914
2008-10-30,30.19,15457400,29.34,30.79,29.34,0.05264993026499298,0.05131072798732778
2008-10-31,30.95,16503860,30.02,31.69,29.13,0.02517389864193431,0.024862255411857572
2008-11-03,29.97,11835280,30.93,31.1,29.56,-0.03166397415185784,-0.03217611780203328
2008-11-04,31.13,14601720,30.53,31.3,30.16,0.03870537203870539,0.037975103124944974
2008-11-05,28.72,14671270,30.68,31.0,28.55,-0.0774172823642788,-0.08057824027349333
2008-11-06,27.86,18182000,28.56,29.33,27.62,-0.029944289693593307,-0.030401775828363783
2008-11-07,28.92,10817040,28.1,29.37,28.0,0.03804737975592265,0.03734142893890447
2008-11-10,27.91,13169080,29.56,29.85,27.51,-0.034923928077455146,-0.035548349742333236
2008-11-11,27.55,11751810,27.81,28.04,27.02,-0.012898602651379432,-0.012982511949307307
2008-11-12,26.72,13127020,27.4,27.42,26.52,-0.030127041742286864,-0.030590186930478633
2008-11-13,28.53,19970620,27.39,28.73,26.08,0.067739520958084,0.06554381655696381
2008-11-14,27.33,16125120,27.96,28.77,27.25,-0.04206098843322825,-0.04297116528543206
2008-11-17,25.99,11983190,26.73,26.97,25.91,-0.04903036955726303,-0.0502731512865777
2008-11-18,26.13,18212250,25.68,26.7,25.07,0.0053866871873797795,0.005372230879122246
2008-11-19,25.31,15545310,25.83,26.9,25.2,-0.03138155376961349,-0.031884504975488455
2008-11-20,23.56,23226380,25.18,26.6,23.18,-0.06914263137099963,-0.07164921577364676
2008-11-21,24.4,24324250,23.9,24.46,22.82,0.035653650254668934,0.03503277351577023
2008-11-24,25.44,17168430,24.84,25.96,24.38,0.04262295081967227,0.04173960617276534
2008-11-25,25.81,13649850,25.85,26.0,25.15,0.014544025157232632,0.014439275258601031
2008-11-26,26.31,12770310,25.4,26.39,25.0,0.019372336303758342,0.019187081321678973
2008-11-28,26.72,5922573,25.68,26.72,25.64,0.015583428354237983,0.015463253616243663
2008-12-01,24.85,14683670,26.37,26.75,24.76,-0.06998502994011968,-0.07255459612580716
2008-12-02,26.68,15541940,25.87,26.77,25.36,0.07364185110663968,0.07105646850478509
2008-12-03,26.46,14854040,25.65,26.69,25.43,-0.008245877061469176,-0.008280062360613252
2008-12-04,25.0,20631960,25.33,26.03,24.62,-0.05517762660619807,-0.05675833381860892
2008-12-05,26.49,23203790,24.67,26.92,24.13,0.059599999999999875,0.05789147841577747
2008-12-08,27.0,15337890,27.01,27.68,26.75,0.01925254813137034,0.01906956272035075
2008-12-09,26.31,19456150,27.36,27.46,26.16,-0.025555555555555554,-0.025887770952127707
2008-12-10,26.98,13204890,26.41,27.41,26.41,0.02546560243253526,0.02514675572740856
2008-12-11,26.44,12548450,26.8,27.77,26.2,-0.020014825796886515,-0.02021783579612422
2008-12-12,27.04,13315880,25.9,27.15,25.82,0.0226928895612708,0.022439236191277804
2008-12-15,26.6,12489830,26.95,27.24,26.2,-0.016272189349112343,-0.016406035387109868
2008-12-16,27.91,15784950,27.05,28.1,26.48,0.04924812030075176,0.0480738317605773
2008-12-17,27.12,14171950,27.19,27.83,26.93,-0.02830526692941593,-0.02871358447603593
2008-12-18,27.74,18722420,27.39,28.33,27.06,0.022861356932153187,0.02260395181449051
2008-12-19,28.56,26621810,28.06,29.07,27.65,0.02956020187454933,0.029131722584698053
2008-12-22,29.09,17057970,28.47,29.38,28.29,0.01855742296918761,0.018387335035726562
2008-12-23,29.41,18442710,29.36,30.22,29.19,0.011000343760742437,0.010940280058793309
2008-12-24,29.27,3382297,29.36,29.66,29.1,-0.004760285617137039,-0.004771651862109189
2008-12-26,29.0,3854655,29.4,29.5,28.75,-0.009224461906388814,-0.009267270717320475
2008-12-29,28.3,12958930,29.11,29.25,27.945,-0.024137931034482696,-0.024434025337282023
2008-12-30,29.6,11015030,28.66,29.66,28.66,0.04593639575971742,0.04491255668082285
2008-12-31,30.4,12024180,29.7,30.57,29.69,0.027027027027026973,0.026668247082161273
2009-01-02,31.0,12207370,30.46,31.12,30.31,0.019736842105263275,0.019544596072970346
2009-01-05,30.53,14968500,31.45,31.66,30.29,-0.015161290322580623,-0.015277397738359746
2009-01-06,29.97,15031940,31.08,31.26,29.55,-0.018342613822469822,-0.018512925418214757
2009-01-07,29.49,12715140,29.61,29.88,29.16,-0.016016016016015988,-0.01614565850138694
2009-01-08,29.36,10527920,29.68,29.69,29.04,-0.004408273991183376,-0.0044180190808699666
2009-01-09,28.73,10616360,28.9,29.61,28.45,-0.021457765667574846,-0.02169133075511656
2009-01-12,28.5,8876620,28.73,28.95,28.3,-0.00800556909154193,-0.00803778571659333
2009-01-13,28.44,10811170,28.41,28.9925,28.23,-0.002105263157894721,-0.0021074823395646983
2009-01-14,27.82,12241370,27.93,28.26,27.4,-0.021800281293952173,-0.02204141843974327
2009-01-15,28.12,12677250,27.81,28.28,27.37,0.01078360891444996,0.010725880447167229
2009-01-16,28.19,14516880,28.4,28.76,27.41,0.0024893314366998265,0.0024862381835569947
2009-01-20,27.89,14560500,28.13,28.88,27.83,-0.010642071656615792,-0.010699103486623568
2009-01-21,27.57,18219070,28.23,28.39,26.89,-0.011473646468268206,-0.011539976603692222
2009-01-22,27.45,15248420,27.25,27.7,26.87,-0.0043525571273123065,-0.0043620570801657455
2009-01-23,28.2,14889250,27.74,28.35,27.53,0.02732240437158473,0.026955809988528295
2009-01-26,27.79,14139930,28.07,28.73,27.52,-0.014539007092198575,-0.014645734189655547
2009-01-27,28.37,9643281,27.86,28.6725,27.85,0.020870816840590223,0.02065600506634771
2009-01-28,28.78,13548840,28.86,29.11,28.38,0.01445188579485368,0.01434845263846174
2009-01-29,28.94,12005680,28.52,29.06,28.38,0.005559416261292638,0.0055440197441161175
2009-01-30,28.55,15519260,28.85,29.0,28.34,-0.013476157567380853,-0.013567785101318645
2009-02-02,28.43,13996900,28.09,28.94,28.0,-0.004203152364273266,-0.00421201043911087
2009-02-03,30.24,23352950,29.88,30.76,28.93,0.06366514245515287,0.061720625648423705
2009-02-04,29.9,12976870,30.25,30.86,29.6,-0.011243386243386277,-0.01130707091469154
2009-02-05,30.1,13710360,28.6,30.46,28.6,0.006688963210702337,0.006666691358189297
2009-02-06,30.77,11068430,30.01,30.93,30.01,0.022259136212624542,0.02201501757912037
2009-02-09,30.65,8727865,30.66,30.87,30.17,-0.0038999025024374356,-0.0039075269517300495
2009-02-10,29.01,14367480,30.47,30.65,28.86,-0.05350734094616627,-0.054992064248907624
2009-02-11,29.72,10317060,29.1,29.94,29.01,0.02447431920027565,0.024179621716245655
2009-02-12,29.34,10868010,29.23,29.43,28.53,-0.012786002691789977,-0.012868447134722693
2009-02-13,28.75,10350390,29.27,29.4,28.52,-0.020109066121336006,-0.020314005471476156
2009-02-17,28.61,20596030,28.14,29.03,27.88,-0.004869565217391347,-0.004881460181340598
2009-02-18,28.64,14352280,28.71,28.8,28.0,0.0010485844110450504,0.0010480350304259355
2009-02-19,28.53,9859738,28.93,29.0,28.46,-0.003840782122905062,-0.003848176867036271
2009-02-20,28.1,17702890,28.1,28.52,27.79,-0.015071854188573375,-0.01518658888570849
2009-02-23,27.88,17168000,27.62,28.39,27.62,-0.007829181494662052,-0.007859990447377077
2009-02-24,28.53,17737560,27.91,28.56,27.54,0.02331420373027271,0.023046579333085605
2009-02-25,27.91,21781110,28.19,28.45,27.72,-0.021731510690501277,-0.021971117677177878
2009-02-26,26.04,19882200,28.17,28.17,26.03,-0.06700107488355433,-0.06935123020786237
2009-02-27,24.2,30956510,25.47,25.78,24.17,-0.07066052227342545,-0.07328118417772773
2009-03-02,23.44,16620610,23.82,24.32,23.42,-0.03140495867768589,-0.03190866845382879
2009-03-03,23.05,18080830,23.68,24.1,22.86,-0.016638225255972694,-0.016778195266154337
