date,close,volume,open,high,low,returns,log_returns
2008-08-14,43.52,2724219.0,42.69,43.86,42.6,,
2008-08-15,44.46,2947847.0,43.56,44.58,43.41,0.02159926470588225,0.02136930598836323
2008-08-18,43.23,3209360.0,44.53,44.53,43.09,-0.027665317139001444,-0.028055209856510208
2008-08-19,42.72,5276870.0,42.69,43.52,42.33,-0.01179736294240108,-0.011867504027600981
2008-08-20,42.88,3063668.0,42.59,43.02,41.95,0.0037453183520599342,0.003738322110607158
2008-08-21,42.74,2626238.0,42.6,43.14,42.02,-0.0032649253731343864,-0.003270266871545045
2008-08-22,44.31,3756930.0,42.84,44.35,42.83,0.03673373888628917,0.036075135320396544
2008-08-25,43.79,3984554.0,44.04,44.2,43.7,-0.011735499887158718,-0.0118049043980912
2008-08-26,43.24,3456953.0,43.58,43.9,42.66,-0.012559945192966326,-0.012639488042299354
2008-08-27,43.63,2671880.0,43.3,43.76,42.95,0.00901942645698428,0.008978994364510716
2008-08-28,44.55,3574487.0,44.03,44.56,43.69,0.02108640843456322,0.020867166781299927
2008-08-29,44.16,3551969.0,43.9,44.57,43.86,-0.008754208754208737,-0.008792751947978428
2008-09-02,44.53,3519361.0,44.82,45.16,44.08,0.008378623188405987,0.008343717364771328
2008-09-03,44.57,3182852.0,44.39,44.73,44.01,0.0008982708286549013,0.0008978676248535044
2008-09-04,42.69,4132827.0,44.19,44.53,42.6,-0.04218083912945936,-0.043096286188593846
2008-09-05,43.28,4191227.0,42.1,43.34,42.01,0.013820566877488893,0.01372593376835541
2008-09-08,44.7,6001330.0,44.31,45.48,43.4,0.032809611829944574,0.032282867081297094
2008-09-09,43.48,6557176.0,44.27,44.85,43.48,-0.027293064876957596,-0.02767243936651456
2008-09-10,44.2,4783893.0,44.23,45.04,42.99,0.016559337626494974,0.016423726830643783
2008-09-11,44.61,5653997.0,42.88,44.79,42.84,0.009276018099547478,0.009233260056520922
2008-09-12,45.05,4657065.0,43.99,45.56,43.98,0.009863259358888099,0.009814934914173483
2008-09-15,43.7,9824666.0,43.89,47.5,43.51,-0.029966703662597016,-0.030424881952802352
2008-09-16,48.86,12548710.0,44.3,49.8,43.88,0.11807780320366135,0.11161096372804996
2008-09-17,45.01,13184710.0,48.96,51.0,45.01,-0.07879656160458459,-0.08207437852475316
2008-09-18,50.8,11526590.0,46.76,50.8,45.08,0.12863808042657188,0.12101166727959489
2008-09-19,50.76,8436478.0,56.54,58.57,47.34,-0.0007874015748031704,-0.0007877117382493169
2008-09-22,46.53,5526165.0,50.25,50.95,44.98,-0.08333333333333326,-0.08701137698962969
