date,close,volume,open,high,low,returns,log_returns
2008-08-14,31.89,7736927.0,31.71,32.36,31.1,,
2008-08-15,33.01,9847664.0,31.94,33.1,31.13,0.03512072750078388,0.034518064843135327
2008-08-18,32.13,8540979.0,33.25,33.49,31.9,-0.02665858830657364,-0.027020372737334424
2008-08-19,30.97,12564740.0,31.97,32.13,29.98,-0.03610333022097734,-0.03677117914265572
2008-08-20,30.24,7075206.0,30.95,30.955,29.89,-0.023571197933484056,-0.023853442673779215
2008-08-21,30.3,5937807.0,30.1,30.73,29.85,0.001984126984126977,0.0019821612039912025
2008-08-22,30.61,6666358.0,30.46,30.72,30.11,0.010231023102310166,0.010179040441997616
2008-08-25,29.31,6565353.0,30.53,30.65,29.16,-0.042469781117281946,-0.043397998234520084
2008-08-26,29.46,6094988.0,29.3,30.36,29.01,0.005117707267144445,0.005104656311683272
2008-08-27,29.43,5563427.0,29.45,29.86,28.82,-0.0010183299389002753,-0.0010188487891028767
2008-08-28,30.06,5952315.0,29.55,30.22,29.43,0.021406727828746197,0.021180822079447045
2008-08-29,30.45,7137231.0,30.04,30.75,29.86,0.012974051896207595,0.012890609831077609
2008-09-02,29.28,12849720.0,30.49,31.385,29.0,-0.03842364532019693,-0.0391813050627951
2008-09-03,29.68,5111393.0,29.18,29.8,28.98,0.013661202185792254,0.013568729206068796
2008-09-04,28.06,13517400.0,29.56,29.62,27.72,-0.05458221024258758,-0.056128343624864796
2008-09-05,27.71,10914320.0,27.9,28.01,27.23,-0.012473271560940802,-0.012551715799427795
2008-09-08,29.16,8881603.0,28.66,29.25,28.22,0.052327679538072935,0.05100454826557039
2008-09-09,28.48,12618440.0,29.07,30.025,28.48,-0.023319615912208547,-0.023595820596682426
2008-09-10,29.31,8166747.0,28.51,29.58,28.42,0.02914325842696619,0.028726668179025947
2008-09-11,29.96,10032860.0,28.52,30.0,28.52,0.02217673149095889,0.021934403926217833
2008-09-12,29.61,7194779.0,30.0,30.0,28.91,-0.011682242990654235,-0.011751016535518853
2008-09-15,28.01,10762260.0,28.78,29.21,27.9,-0.05403579871664976,-0.055550552841482734
2008-09-16,26.78,17467930.0,27.73,27.8,25.84,-0.043912888254194926,-0.044906249008990706
2008-09-17,25.51,12254130.0,26.5,27.5,25.5,-0.04742345033607165,-0.04858480810930637
2008-09-18,26.57,12780000.0,25.85,26.72,24.9,0.0415523324186593,0.04071222761800206
2008-09-19,26.79,13050370.0,29.94,30.0,26.34,0.008280015054572765,0.008245923784795172
2008-09-22,26.52,6717367.0,27.0,27.09,26.14,-0.01007838745800671,-0.010129518238855603
2008-09-23,26.0,6471169.0,26.27,27.5,25.24,-0.019607843137254832,-0.019802627296179643
