date,close,volume,open,high,low,returns,log_returns
2008-08-14,66.12,4571887.0,65.71,67.0,65.31,,
2008-08-15,66.8,4445872.0,66.35,67.3,66.03,0.010284331518451095,0.010231807589776409
2008-08-18,65.83,4439531.0,67.11,67.11,65.28,-0.014520958083832358,-0.014627419062814732
2008-08-19,64.95,3935891.0,65.29,65.46,64.61,-0.013367765456478775,-0.013457918363176755
2008-08-20,64.75,4520369.0,64.98,65.15,63.99,-0.003079291762894565,-0.003084042536961445
2008-08-21,64.21,4074700.0,64.1,64.68,63.52,-0.00833976833976846,-0.00837473877369025
2008-08-22,65.98,4098097.0,64.88,66.06,63.0,0.027565799719670103,0.027192703994478623
2008-08-25,64.96,4590249.0,65.7,65.79,64.4809,-0.015459230069718277,-0.015579969947013037
2008-08-26,64.89,3123689.0,64.65,65.13,64.36,-0.0010775862068964637,-0.0010781672203453326
2008-08-27,65.05,3677955.0,64.86,65.3,64.5,0.002465711203575305,0.002462676325437214
2008-08-28,66.72,3580482.0,65.39,66.98,65.01,0.025672559569561937,0.025348553091977095
2008-08-29,65.59,3986793.0,66.34,66.89,65.43,-0.016936450839328487,-0.017081512744847142
2008-09-02,66.16,5534937.0,66.43,67.95,65.7,0.008690349138588127,0.008652805409791678
2008-09-03,67.42,5820280.0,67.8,67.8,66.3,0.01904474002418377,0.018865659090478767
2008-09-04,64.88,8575525.0,66.72,66.99,64.24,-0.03767428062889355,-0.03840229999875724
2008-09-05,64.08,6804368.0,64.48,65.07,63.68,-0.012330456226880337,-0.012407107047053643
2008-09-08,65.78,7363412.0,65.27,66.08,64.3,0.026529338327091256,0.02618353800080725
2008-09-09,64.11,7440758.0,65.56,66.0,64.11,-0.025387655822438404,-0.025715482761744943
2008-09-10,63.32,6220487.0,64.45,64.45,62.9,-0.01232257058181252,-0.012399122986354554
2008-09-11,63.93,7178230.0,62.99,63.93,62.32,0.009633607075173689,0.009587499765824032
2008-09-12,64.46,5847898.0,63.41,64.9,63.35,0.008290317534803693,0.00825614160865633
2008-09-15,63.12,8135070.0,62.83,64.12,62.52,-0.020788085634501963,-0.021007199849672933
2008-09-16,63.11,9474357.0,62.16,63.79,61.9,-0.00015842839036750433,-0.0001584409414705931
2008-09-17,60.71,8813924.0,62.27,62.58,60.59,-0.038028838535889675,-0.038770806453805436
2008-09-18,62.49,10685440.0,61.33,62.78,59.64,0.029319716685883623,0.028898114798647553
2008-09-19,64.3,11065170.0,64.51,68.0,61.01,0.028964634341494655,0.0285530873025834
2008-09-22,61.62,7456228.0,63.53,64.6,61.28,-0.04167962674961123,-0.04257313807505188
2008-09-23,60.15,6569962.0,61.7,62.47,59.96,-0.02385589094449847,-0.024145050747833907
2008-09-24,59.63,5876787.0,59.63,60.72,59.135,-0.008645054031587662,-0.008682639285673319
2008-09-25,59.17,8026284.0,60.11,60.46,58.87,-0.007714237799765211,-0.007744146446411819
2008-09-26,60.86,6113168.0,58.12,60.92,57.79,0.028561771167821437,0.028161487780222223
2008-09-29,56.66,9609783.0,59.89,60.2,56.15,-0.06901084456128825,-0.07150765006645458
2008-09-30,60.06,9067159.0,57.33,60.36,56.97,0.060007059654077155,0.05827556815281392
2008-10-01,59.12,8264925.0,59.48,59.96,58.62,-0.015651015651015676,-0.01577478591523791
2008-10-02,54.98,10462360.0,58.45,58.89,54.89,-0.07002706359945876,-0.07259979390284671
2008-10-03,54.86,9731719.0,56.36,57.1,54.79,-0.002182611858857708,-0.0021849972276424224
2008-10-06,52.65,12763940.0,53.88,54.48,50.31,-0.04028436018957349,-0.04111824692947269
2008-10-07,50.12,10923560.0,52.54,53.99,50.03,-0.04805318138651471,-0.049246108552116946
2008-10-08,49.68,13993500.0,48.8,51.99,48.66,-0.00877893056664003,-0.008817692402644194
2008-10-09,46.33,11778610.0,50.74,50.95,46.33,-0.06743156199677947,-0.0698127381966664
2008-10-10,47.63,20988550.0,45.01,50.63,43.28,0.028059572631124574,0.02767311538421205
2008-10-13,54.13,13733840.0,49.3,54.19,48.94,0.1364686122191896,0.1279257459961175
2008-10-14,52.53,15726450.0,57.63,57.63,51.61,-0.029558470349159482,-0.030004125843016406
