date,close,volume,open,high,low,returns,log_returns
2008-08-14,37.16,5288918.0,36.66,37.5,36.25,,
2008-08-15,37.27,5181275.0,37.3,37.85,36.99,0.00296017222820244,0.00295579954552935
2008-08-18,37.12,4336701.0,37.27,37.5,36.82,-0.0040246847330294155,-0.004032805573167391
2008-08-19,36.39,4291470.0,36.86,37.0,36.19,-0.01966594827586199,-0.01986189629393129
2008-08-20,35.83,5702676.0,36.48,36.48,35.58,-0.015388843088760762,-0.015508480307206125
2008-08-21,36.23,3927294.0,35.58,36.37,35.4,0.0111638291934133,0.011101973590123378
2008-08-22,36.47,4045511.0,36.32,36.73,36.17,0.006624344465912202,0.006602499913602966
2008-08-25,35.56,5168355.0,36.26,36.52,35.41,-0.024952015355086288,-0.025268594174884938
2008-08-26,35.58,4218017.0,35.62,35.75,35.13,0.0005624296962878361,0.0005622715919851286
2008-08-27,35.28,5360828.0,35.58,35.7,34.98,-0.00843170320404718,-0.008467451099098494
2008-08-28,36.52,7003587.0,35.65,36.6,35.45,0.035147392290249435,0.03454382458817717
2008-08-29,36.43,5373416.0,36.01,36.76,36.01,-0.002464403066812837,-0.002467444706295422
2008-09-02,36.0,8681973.0,36.66,37.24,35.98,-0.011803458687894564,-0.011873672564362397
2008-09-03,35.92,9278864.0,35.97,36.02,35.22,-0.0022222222222221255,-0.0022246950221110513
2008-09-04,34.94,8326509.0,35.81,35.9,34.86,-0.027282850779510093,-0.02766193872808842
2008-09-05,34.59,7470877.0,34.8,35.09,34.04,-0.010017172295363364,-0.01006768175683304
2008-09-08,36.0,9513531.0,35.5,36.09,34.73,0.040763226366001604,0.039954315507032524
2008-09-09,35.23,8508155.0,36.15,36.32,35.13,-0.021388888888889013,-0.02162094610296386
2008-09-10,35.75,7120672.0,35.33,36.05,35.3,0.014760147601476037,0.014652276786870415
2008-09-11,36.67,7945355.0,35.61,36.71,35.49,0.02573426573426585,0.025408712943218094
2008-09-12,36.07,6915633.0,36.44,36.67,35.92,-0.016362148895554984,-0.016497487167787053
2008-09-15,34.27,11305870.0,35.01,35.65,34.21,-0.04990296645411696,-0.05119115902893012
2008-09-16,33.48,12813990.0,33.94,34.0,32.93,-0.02305223227312536,-0.023322090265243074
2008-09-17,31.96,14054330.0,33.64,33.64,31.85,-0.04540023894862588,-0.04646312472320048
2008-09-18,32.84,12336190.0,32.32,33.15,31.88,0.027534418022528317,0.027162163686153706
2008-09-19,32.96,10764430.0,33.74,34.05,32.56,0.0036540803897684437,0.003647420457043347
2008-09-22,31.76,8519448.0,32.71,32.96,31.71,-0.036407766990291246,-0.03708706866233596
2008-09-23,31.35,9748292.0,31.76,32.01,31.26,-0.012909319899244376,-0.012993369300005315
2008-09-24,31.62,6304612.0,31.64,31.95,31.0,0.008612440191387627,0.008575564702396324
2008-09-25,32.13,6009132.0,31.77,32.36,31.71,0.016129032258064502,0.016000341346441117
2008-09-26,32.73,6659233.0,31.45,32.95,31.36,0.018674136321194856,0.01850191538532177
2008-09-29,31.0,12161020.0,31.7,32.55,30.26,-0.05285670638557893,-0.05430488402794285
2008-09-30,30.96,13120200.0,31.5,31.59,30.65,-0.001290322580645098,-0.001291155763619816
2008-10-01,29.74,10941580.0,30.82,30.96,29.59,-0.039405684754522,-0.04020310768951739
2008-10-02,29.12,10580440.0,30.09,30.1,29.06,-0.020847343644922578,-0.021067717703523708
2008-10-03,27.96,10832920.0,29.64,29.64,27.85,-0.039835164835164805,-0.04065030596287568
2008-10-06,27.54,12181690.0,27.04,27.83,26.17,-0.015021459227467893,-0.015135424065100803
2008-10-07,26.74,11195070.0,28.1,28.59,26.64,-0.02904865649963695,-0.029478921626711726
2008-10-08,26.18,12238980.0,26.1,27.56,26.09,-0.020942408376963262,-0.021164811192043158
2008-10-09,25.28,13073190.0,26.89,27.27,25.09,-0.03437738731856377,-0.034982191203097174
2008-10-10,23.22,28559080.0,23.86,26.23,22.3,-0.081487341772152,-0.08499959300891134
2008-10-13,24.59,11764730.0,24.63,24.81,23.89,0.05900086132644278,0.05732587995835581
2008-10-14,23.26,16787850.0,25.96,25.96,22.68,-0.05408702724684822,-0.05560470913758273
2008-10-15,21.91,14549000.0,23.0,23.4,21.8,-0.05803955288048157,-0.05979199348314327
2008-10-16,23.51,17071130.0,22.08,23.61,21.545,0.07302601551802845,0.07048270894460314
2008-10-17,23.3,10532970.0,23.5,24.19,21.8625,-0.008932369204593837,-0.00897250198032331
2008-10-20,24.62,7986372.0,23.87,24.63,23.46,0.05665236051502154,0.055105760184652644
2008-10-21,24.35,7834948.0,24.33,25.13,24.23,-0.010966693744922762,-0.011027271227708588
2008-10-22,23.36,9008366.0,23.91,24.2,22.75,-0.040657084188911785,-0.041506691568572576
2008-10-23,23.33,9448557.0,23.7,23.82,22.26,-0.0012842465753425403,-0.001285071926687782
2008-10-24,22.59,11002260.0,21.79,23.14,21.56,-0.03171881697385337,-0.03223275555342666
2008-10-27,21.4,10238400.0,21.92,22.9025,21.28,-0.05267817618415238,-0.05411640845210621
2008-10-28,24.96,14607380.0,22.39,24.98,21.87,0.1663551401869161,0.1538836214734213
2008-10-29,23.67,9132907.0,24.75,25.01,23.66,-0.05168269230769229,-0.05306611997533433
2008-10-30,25.2,9733884.0,24.64,25.38,24.6,0.06463878326996197,0.06263557099148505
2008-10-31,25.46,9369357.0,25.15,26.08,24.91,0.01031746031746028,0.010264598611882803
2008-11-03,24.61,6584443.0,25.44,25.85,24.38,-0.03338570306362931,-0.033955728726296056
2008-11-04,25.62,6958648.0,25.32,25.94,24.883,0.04104022754977654,0.040220432065623715
2008-11-05,24.46,6550727.0,25.38,25.57,24.34,-0.04527712724434041,-0.04633416620956194
2008-11-06,23.48,6965467.0,24.25,24.82,23.3,-0.040065412919051524,-0.04089013529913061
2008-11-07,23.88,5775321.0,23.58,24.24,23.34,0.017035775127768327,0.01689229356450565
2008-11-10,23.59,5142952.0,23.92,24.36,23.27,-0.012144053601339966,-0.012218395104817608
2008-11-11,23.64,5272770.0,23.41,24.29,22.99,0.002119542178889322,0.00211729911831375
2008-11-12,23.0,5826982.0,23.26,23.56,22.78,-0.027072758037225086,-0.027445976608747803
2008-11-13,24.55,9847594.0,23.17,24.7,22.35,0.06739130434782603,0.06521763831137985
2008-11-14,23.43,9573943.0,24.04,24.88,23.4,-0.04562118126272918,-0.04669460172082536
2008-11-17,22.65,6923715.0,23.09,23.42,22.59,-0.033290653008962945,-0.03385740059066134
2008-11-18,23.75,8491722.0,22.59,23.78,22.5,0.04856512141280356,0.047422678551607214
2008-11-19,23.01,9958948.0,23.56,24.59,22.99,-0.03115789473684205,-0.03165362643337565
2008-11-20,22.85,11340380.0,22.81,24.18,22.63,-0.006953498478922238,-0.006977786707060834
2008-11-21,23.16,12859650.0,23.42,23.42,21.5,0.013566739606126754,0.01347553536458063
2008-11-24,24.13,10981560.0,23.44,24.56,22.76,0.041882556131260795,0.04102922693214587
2008-11-25,23.81,9826609.0,24.69,24.97,23.14,-0.013261500207210952,-0.013350219138168964
2008-11-26,24.57,6654005.0,23.5,24.66,23.24,0.03191936161276776,0.03142052603431635
2008-11-28,24.74,2564404.0,24.42,24.9,24.42,0.00691900691900682,0.006895180431253996
2008-12-01,23.06,7028116.0,24.48,24.48,22.96,-0.0679062247372676,-0.07032185212342888
2008-12-02,23.65,7899227.0,22.98,23.91,22.77,0.025585429314830765,0.0252636000970289
2008-12-03,24.02,8633642.0,23.0,24.26,23.0,0.01564482029598313,0.015523701713895551
2008-12-04,24.47,8774662.0,23.75,24.91,23.63,0.01873438800999172,0.01856106080274286
2008-12-05,25.94,10509140.0,24.12,26.0,23.7,0.06007355946056414,0.0583383014337177
2008-12-08,26.32,9898025.0,26.69,26.71,25.752,0.014649190439475657,0.014542927568818573
2008-12-09,25.92,8402524.0,26.16,26.65,25.73,-0.015197568389057725,-0.015314234973042481
2008-12-10,26.35,4688476.0,26.09,26.5,25.88,0.016589506172839386,0.01645340350329727
2008-12-11,26.2,5937398.0,26.34,27.01,26.08,-0.005692599620493399,-0.005708864220320204
2008-12-12,26.15,6476229.0,26.0,26.27,25.34,-0.001908396946564861,-0.0019102202561192376
2008-12-15,25.78,5384471.0,26.25,26.35,25.51,-0.014149139579349823,-0.014250192999890497
2008-12-16,26.48,8361316.0,25.98,26.54,25.32,0.027152831652443643,0.026790733557766025
2008-12-17,25.73,7905961.0,26.08,26.39,25.55,-0.028323262839879182,-0.02873210477515469
2008-12-18,25.74,6923462.0,25.87,26.191,25.41,0.00038865137971222374,0.00038857587432762874
2008-12-19,26.08,12497220.0,26.58,26.58,25.43,0.013209013209013243,0.013122534890471632
2008-12-22,24.98,9989000.0,25.0,25.35,24.32,-0.04217791411042937,-0.04309323236102051
2008-12-23,24.08,6196341.0,25.09,25.15,23.84,-0.03602882305844679,-0.03669388425681136
2008-12-24,24.11,1960341.0,24.15,24.27,23.91,0.001245847176079673,0.0012450717524593318
2008-12-26,23.82,2461474.0,24.17,24.27,23.62,-0.012028204064703396,-0.012101128265925588
2008-12-29,23.65,6570760.0,23.79,24.11,23.43,-0.007136859781696092,-0.007162448989212111
2008-12-30,23.94,5944756.0,23.82,23.96,23.57,0.012262156448203054,0.012187585191885208
2008-12-31,24.67,6572553.0,23.96,24.85,23.94,0.03049289891395146,0.03003723041143816
2009-01-02,25.55,5266647.0,24.65,25.67,24.61,0.03567085528982572,0.03504938610844813
2009-01-05,26.84,11938360.0,25.43,26.97,25.43,0.050489236790606684,0.04925599545376763
