date,close,volume,open,high,low,returns,log_returns
2008-08-14,77.45,25846930.0,77.6,78.15,76.91,,
2008-08-15,77.07,26280580.0,77.09,77.28,76.19,-0.004906391220142137,-0.004918467072975848
2008-08-18,76.53,22931890.0,77.46,78.05,76.3,-0.007006617360840739,-0.007031278968072126
2008-08-19,77.95,22129880.0,76.38,78.27,76.37,0.018554815105187528,0.018384774681955828
2008-08-20,78.81,25932490.0,78.54,79.66,77.38,0.011032713277742134,0.010972296861772654
2008-08-21,80.35,24637590.0,79.28,80.95,79.0,0.01954066742799121,0.019352199817963246
2008-08-22,80.3,19662120.0,80.0,80.7,79.15,-0.000622277535780924,-0.0006224712308055695
2008-08-25,78.71,20632570.0,80.27,80.56,78.64,-0.019800747198007507,-0.019999408798357238
2008-08-26,79.95,18749510.0,78.82,80.0,78.82,0.015754033794943556,0.01563122712560454
2008-08-27,80.47,20375410.0,80.67,81.28,80.0,0.006504065040650264,0.006483004878078091
2008-08-28,81.18,20287480.0,81.06,81.19,79.89,0.008823163912017096,0.008784467252710395
2008-08-29,80.01,22059350.0,81.5,81.5,80.01,-0.014412416851441234,-0.014517284548719072
2008-09-02,77.32,31687200.0,78.04,78.89,77.28,-0.033620797400325086,-0.03419897252190258
2008-09-03,78.02,27013620.0,77.01,78.6,77.01,0.009053285049146487,0.009012549738380385
2008-09-04,76.14,32198550.0,77.68,78.34,75.7,-0.02409638554216864,-0.024391453124159124
2008-09-05,75.62,27868760.0,76.0,76.39,74.69,-0.00682952456002095,-0.006852952491564432
2008-09-08,76.77,31222890.0,76.76,77.55,76.0,0.01520761703253104,0.0150931403770203
2008-09-09,73.26,38471920.0,76.07,76.99,73.26,-0.04572098475967168,-0.04679918148913875
2008-09-10,75.25,31387450.0,73.88,75.8,73.54,0.0271635271635271,0.026801146278316736
2008-09-11,75.56,35639250.0,74.56,75.75,73.62,0.004119601328903766,0.004111139004323804
2008-09-12,77.5,28646220.0,75.52,77.7,75.51,0.02567496029645322,0.025350893725992578
2008-09-15,73.25,40174330.0,74.94,77.9,73.25,-0.05483870967741933,-0.0563996884621246
2008-09-16,76.43,41943780.0,71.99,76.75,71.51,0.04341296928327654,0.04249704135761612
2008-09-17,75.28,43329900.0,75.6,79.12,74.82,-0.015046447729949008,-0.015160793977668561
2008-09-18,77.75,48230850.0,76.29,77.75,74.55,0.03281083953241226,0.032284055782219254
2008-09-19,79.61,58834870.0,80.49,82.0,78.22,0.023922829581993543,0.023641162041143284
2008-09-22,78.88,31994360.0,80.2,81.8,78.53,-0.009169702298706284,-0.009212002806106939
2008-09-23,77.69,27825170.0,78.57,80.5,77.58,-0.015086206896551713,-0.015201161332050555
2008-09-24,78.03,27539260.0,77.95,79.5,77.02,0.004376367614879584,0.0043668191663403895
2008-09-25,80.67,36143550.0,78.54,81.3,78.5,0.033833141099577135,0.033273390820213175
