date,close,volume,open,high,low
16:00,66.46,"6,593,732",66.69,66.95,66.255
2018-08-14,66.46,6596039,66.61,66.95,66.255
2018-08-13,66.72,9357223,66.13,66.89,66.07
2018-08-10,66.07,7437485,65.9,66.5,65.68
2018-08-09,66,6972451,66.87,66.87,65.8
2018-08-08,66.69,6509314,66.51,66.99,66.15
2018-08-07,66.58,8083261,66.09,66.99,66.03
2018-08-06,66.22,8106507,66.09,66.48,65.69
2018-08-03,65.93,6997182,65.2,66.02,64.97
2018-08-02,65.22,6895404,65.3,65.43,64.87
2018-08-01,65.49,7585518,65.71,66.14,65.45
2018-07-31,65.87,15424460,64.9,66.12,64.88
2018-07-30,64.81,9645104,63.79,64.9,63.53
2018-07-27,63.49,8411588,62.45,64.02,62.3805
2018-07-26,64.01,11137030,64.61,65.2,63.985
2018-07-25,64.49,10518680,63.43,64.57,63.36
2018-07-24,63.42,9417678,62.9,63.44,62.82
2018-07-23,62.69,6925301,62.57,62.78,62.51
2018-07-20,62.52,6874689,62.06,62.54,62.005
2018-07-19,62.51,7271337,62.74,62.94,62.245
2018-07-18,62.94,6336010,62.6,62.98,62.37
2018-07-17,62.53,5040866,62.53,62.81,62.46
2018-07-16,62.59,4506091,62.93,62.95,62.33
2018-07-13,62.89,7352246,62.27,63.04,62.25
2018-07-12,62.66,8038428,62.44,62.84,62.14
2018-07-11,61.9,5766412,62.14,62.2,61.59
2018-07-10,62.3,10662780,62.39,62.63,62.11
2018-07-09,62.02,8321430,62.46,62.69,62
2018-07-06,62.2,8151935,61.8,62.505,61.79
2018-07-05,61.64,9062510,61.4,61.955,61.09
2018-07-03,60.71,4872655,60.74,61.3,60.55
2018-07-02,60.46,8753505,60.55,60.56,59.92
2018-06-29,60.7,14271850,60.53,61.465,60.35
2018-06-28,60.3,10191980,60.11,60.75,59.99
2018-06-27,59.88,10418140,60.7,61.08,59.8
2018-06-26,60.72,11994220,60.83,61.02,60.61
2018-06-25,61.08,10225190,61.41,61.62,60.64
2018-06-22,61.47,12912890,61.28,61.92,61.22
2018-06-21,61.18,8754619,61.27,61.27,60.81
2018-06-20,61.28,12171290,61.06,61.48,60.79
2018-06-19,61.03,9958366,60.65,61.31,60.63
2018-06-18,60.99,9542385,61.35,61.36,60.59
2018-06-15,62.03,16450160,61.59,62.1,61.22
2018-06-14,61.56,11954380,62.07,62.375,61.22
2018-06-13,62.59,9407170,62.57,62.96,62.35
2018-06-12,62.44,7861381,62.37,62.61,62.01
2018-06-11,62.33,7196609,62.77,62.86,62.08
2018-06-08,62.58,9673103,62.01,62.65,61.97
2018-06-07,61.99,7543844,62,62.04,61.51
2018-06-06,61.93,7549481,61.51,61.94,61.2244
2018-06-05,61.39,12478660,62,62.33,61.06
2018-06-04,62.02,19059550,61.55,62.53,61.18
2018-06-01,60.56,11015500,59.89,60.81,59.62
2018-05-31,59.53,12195040,59.63,59.88,59.31
2018-05-30,59.72,11011260,58.65,59.8,58.52
2018-05-29,58.4,8804864,58.58,58.8875,58.025
2018-05-25,59.09,6652799,59.14,59.46,58.84
2018-05-24,59.13,6535385,59.25,59.41,58.81
2018-05-23,59.17,9895827,58.45,59.49,58.43
2018-05-22,58.45,8572336,58.78,59.14,58.4
2018-05-21,58.57,8260845,59.18,59.32,58.39
2018-05-18,59.14,9686235,58.96,59.46,57.49
2018-05-17,59.07,7829603,59.54,59.7802,58.88
2018-05-16,59.75,8530727,59.32,60.01,59.11
2018-05-15,59.2,6807241,59.44,59.795,58.9
2018-05-14,59.68,9455402,59.77,60.075,59.425
2018-05-11,59.69,12733250,58.16,59.97,58.13
2018-05-10,58.06,8228938,58.13,58.73,57.93
2018-05-09,57.95,8286273,56.97,58.41,56.83
2018-05-08,56.76,10257220,57.37,57.42,56.255
2018-05-07,57.38,9833005,57.77,58.1,57.08
2018-05-04,57.75,7985598,57.12,57.905,56.83
2018-05-03,57.53,11233350,57.14,57.8,56.37
2018-05-02,57.3,9813132,57.68,58,57.015
2018-05-01,57.98,13125630,59,59.24,56.88
2018-04-30,58.87,13087400,59.65,59.98,58.87
2018-04-27,59.47,7665628,59.34,59.65,59.31
2018-04-26,59.41,13496860,59.82,60.085,59.11
2018-04-25,59.63,9901638,59.9,59.92,58.925
2018-04-24,60.09,12994890,60.41,61,59.77
2018-04-23,60.25,19799950,60.05,60.62,59.43
2018-04-20,58.83,9644657,58.86,59.27,58.66
2018-04-19,58.64,10501800,58.92,59.32,58.42
